Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,9.0,48.85731,7.314175,Vosges du Nord,ZR GRAND-EST,2020
NO2,32.0,48.59043,7.744983,Strasbourg Clemenceau,ZAG STRASBOURG,2020
NO2,19.0,48.570374,7.766331,Strasbourg Est,ZAG STRASBOURG,2020
NO2,34.0,48.575985,7.727478,Strasbourg A35,ZAG STRASBOURG,2020
NO2,20.0,48.0744444,7.3505555,Colmar Centre,ZR GRAND-EST,2020
NO2,19.0,47.757435,7.347294,Mulhouse Nord,ZR GRAND-EST,2020
NO2,19.0,47.820248,7.538683,Chalampé,ZR GRAND-EST,2020
NO2,15.0,47.594913,7.568175,C.C.3 Frontières,ZR GRAND-EST,2020
NO2,13.0,47.737415,7.309075,Mulhouse Sud 2,ZR GRAND-EST,2020
NO2,29.0,47.747684,7.321364,Mulhouse-Briand,ZR GRAND-EST,2020
NO2,3.0,48.492992,7.1298,Donon Vosges Moyennes 2,ZR GRAND-EST,2020
NO2,14.0,49.276386,2.482167,Nogent sur Oise,ZAR CREIL,2020
NO2,9.0,49.86889,2.239806,Salouel,ZAR AMIENS,2020
NO2,14.0,49.851334,3.284,P. Roth St Quentin,ZR HAUTS-DE-FRANCE,2020
NO2,16.0,49.259552,2.474397,Faiencerie Creil,ZAR CREIL,2020
NO2,12.0,49.901667,2.304597,St Pierre Amiens,ZAR AMIENS,2020
NO2,22.0,49.435932,2.084292,Trafic Beauvais 1,ZR HAUTS-DE-FRANCE,2020
NO2,16.0,48.10861,-1.66586,Rennes Laennec,ZAG RENNES,2020
NO2,21.0,48.10751,-1.67984,Rennes Les Halles,ZAG RENNES,2020
NO2,12.0,48.11078,-1.68293,Rennes St-Yves,ZAG RENNES,2020
NO2,9.0,48.38618,-4.4866,Brest Mace,ZAR BREST,2020
NO2,20.0,48.39746,-4.48871,Brest Desmoulins,ZAR BREST,2020
NO2,4.0,48.261963,-2.943631,Kergoff,ZR BRETAGNE,2020
NO2,8.0,47.75171,-3.37501,Lorient CTM,ZR BRETAGNE,2020
NO2,7.0,47.7425,-3.39501,Lorient B. Bissonnet,ZR BRETAGNE,2020
NO2,8.0,47.64892,-2.76399,Vannes UTA,ZR BRETAGNE,2020
NO2,16.0,47.758947,-3.36938,Lorient Normandie,ZR BRETAGNE,2020
NO2,6.0,47.986606,-4.097658,Quimper Zola,ZR BRETAGNE,2020
NO2,8.0,48.51351,-2.74953,Saint Brieuc Balzac,ZR BRETAGNE,2020
NO2,7.0,48.65306,-2.00268,StMalo Rocabey,ZR BRETAGNE,2020
NO2,41.0,45.720024,4.818156,A7 SUD LYONNAIS,ZAG LYON,2020
NO2,23.0,45.73529,4.829794,GERLAND,ZAG LYON,2020
NO2,31.0,45.75836,4.886214,GRANDCLEMENT,ZAG LYON,2020
NO2,22.0,45.7078,4.8644,ST FONS CENTRE,ZAG LYON,2020
NO2,15.0,45.6019,4.8022,TERNAY,ZAG LYON,2020
NO2,18.0,45.7789,4.9247,VAULX EN VELIN,ZAG LYON,2020
NO2,14.0,45.823223,4.953958,COTIERE AIN,ZAG LYON,2020
NO2,10.0,45.7533,5.0722,SAINT EXUPERY,ZAG LYON,2020
NO2,21.0,45.757732,4.854214,LYON Centre,ZAG LYON,2020
NO2,49.0,45.77482,4.898572,Lyon Périphérique,ZAG LYON,2020
NO2,31.0,45.7496944,4.84438888888888,LYON TRAFIC JAURES,ZAG LYON,2020
NO2,18.0,45.990112,4.715566,Villefranche Centre ,ZAG LYON,2020
NO2,11.0,49.19222,-0.391111,Caen Chemin-Vert,ZAR CAEN,2020
NO2,19.0,49.17508,-0.353563,Caen Vaucelles,ZAR CAEN,2020
NO2,9.0,49.15167,-0.352778,IFS Caen sud,ZAR CAEN,2020
NO2,9.0,49.147224,0.227222,Lisieux,ZR NORMANDIE,2020
NO2,8.0,48.445553,0.110833,Alençon Météo-France,ZR NORMANDIE,2020
NO2,10.0,49.63639,-1.626667,cherbourg doumer,ZR NORMANDIE,2020
NO2,8.0,49.11639,-1.084722,Saint-Lô Eglise,ZR NORMANDIE,2020
NO2,9.0,49.117196,-0.169666,Moult proximité,ZR NORMANDIE,2020
NO2,12.0,49.165726,6.716886,Ecole de Carling(9),ZR GRAND-EST,2020
NO2,10.0,49.158413,6.731664,L Hôpital - Mairie,ZR GRAND-EST,2020
NO2,9.0,49.19539,6.957444,Spicheren(14),ZR GRAND-EST,2020
NO2,14.0,49.220364,6.925833,SCHOENECK (19),ZR GRAND-EST,2020
NO2,14.0,49.18742,6.910867,Station de FORBACH,ZR GRAND-EST,2020
NO2,7.0,47.324097,-2.081567,AMPERE,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,7.0,47.322706,-2.039244,LA MEGRETAIS,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,4.0,47.24747,-1.936619,FROSSAY,ZR PAYS-DE-LA-LOIRE,2020
NO2,4.0,47.28318,-1.783164,S ETIENNE DE MONTLUC,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,8.0,47.315727,-2.190764,JULES VERNE,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,8.0,47.054443,-0.886111,SAINT EXUPERY,ZR PAYS-DE-LA-LOIRE,2020
NO2,11.0,47.252777,-1.573333,LA CHAUVINIERE,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,7.0,47.26412,-2.249858,LEON BLUM,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,10.0,47.468513,-0.556053,BEAUX ARTS,ZAR ANGERS-LOIRE,2020
NO2,9.0,48.06943,-0.767692,MAZAGRAN,ZAR LAVAL,2020
NO2,4.0,46.656685,-0.743681,LA TARDIERE,ZR PAYS-DE-LA-LOIRE,2020
NO2,23.0,47.204356,-1.552914,VICTOR HUGO,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,9.0,47.44739,-0.550067,APPENTIS,ZAR ANGERS-LOIRE,2020
NO2,7.0,46.6607,-1.436831,DELACROIX,ZR PAYS-DE-LA-LOIRE,2020
NO2,6.0,47.331524,-2.151625,BONNE FONTAINE,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,10.0,47.98892,0.195983,GUEDOU,ZAR LE-MANS,2020
NO2,5.0,47.78773,-0.444044,SAINT-DENIS D'ANJOU,ZR PAYS-DE-LA-LOIRE,2020
NO2,8.0,47.273056,-2.223056,PARC PAYSAGER,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,9.0,47.971066,0.221422,SOURCES,ZAR LE-MANS,2020
NO2,11.0,47.2225,-1.5375,CIM BOUTEILLERIE,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,12.0,47.1941472,-1.581677778,LEVOYER,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,11.0,47.1859194,-1.59149722222222,LES COUETS,ZAG NANTES-SAINT-NAZAIRE,2020
NO2,23.0,43.598803,7.093153,ANTIBES JEAN MOULIN,ZAG NICE,2020
NO2,16.0,43.558389,7.005919,CANNES BROUSSAILLES,ZAG NICE,2020
NO2,9.0,43.835784,5.786131,MANOSQUE,ZR PROVENCE-ALPES-COTE D’AZUR,2020
NO2,12.0,43.788748,7.332382,CONTES 2,ZAG NICE,2020
NO2,17.0,44.555193,6.073015,GAP COMMANDERIE,ZR PROVENCE-ALPES-COTE D’AZUR,2020
NO2,28.0,43.689291,7.242074,NICE PROMENADE,ZAG NICE,2020
NO2,24.0,43.702075,7.286256,NICE ARSON,ZAG NICE,2020
NO2,22.0,44.548647,6.067237,GAP JEAN JAURES,ZR PROVENCE-ALPES-COTE D’AZUR,2020
NO2,17.0,49.442358,1.093789,Espace du Palais,ZAG ROUEN,2020
NO2,10.0,49.02134,1.148319,Evreux Centre,ZR NORMANDIE,2020
NO2,12.0,49.4005,1.099042,Centre Hospitalier,ZAG ROUEN,2020
NO2,16.0,49.42815,1.058025,Petit Quevilly,ZAG ROUEN,2020
NO2,25.0,49.918007,1.073972,Dieppe prox-auto,ZAR DIEPPE,2020
NO2,30.0,49.436699,1.098838,Rouen Proxi Quai de Paris,ZAG ROUEN,2020
NO2,37.0,49.4341639,1.067052778,Petit-Quevilly Sud 3,ZAG ROUEN,2020
NO2,11.0,47.307368,5.065881,Dijon Péjoces,ZAR DIJON,2020
NO2,2.0,47.274762,4.099476,Morvan,ZR BOURGOGNE-FRANCHE-COMTE,2020
NO2,17.0,47.325744,5.041056,Dijon Trémouille,ZAR DIJON,2020
NO2,9.0,48.200436,3.2773,Sens,ZR BOURGOGNE-FRANCHE-COMTE,2020
NO2,8.0,46.996828,3.171092,Nevers,ZR BOURGOGNE-FRANCHE-COMTE,2020
NO2,16.0,47.137231,4.950573,Nuits-Saint-Georges,ZR BOURGOGNE-FRANCHE-COMTE,2020
NO2,16.0,47.315459,5.040202,Dijon-Transvaal,ZAR DIJON,2020
NO2,19.0,45.36782,4.805147,ROUSSILLON,ZAR VALLEE-DU-RHONE,2020
NO2,12.0,45.454517,4.766528,ROCHES DE CONDRIEU,ZR AUVERGNE-RHONE-ALPES,2020
NO2,9.0,45.321845,4.770702,Sablons,ZAR VALLEE-DU-RHONE,2020
NO2,10.0,45.60822,5.270872,Bourgoin-Jallieu,ZAG LYON,2020
NO2,4.0,45.4609,5.181081,Plateau de Bonnevaux,ZR AUVERGNE-RHONE-ALPES,2020
NO2,37.0,45.344078,4.807481,A7 Salaise Ouest,ZAR VALLEE-DU-RHONE,2020
NO2,12.0,50.44914,2.9,Harnes Serres,ZAG BLDV,2020
NO2,12.0,50.30886,2.807369,St-Laurent-Blangy,ZAR ARRAS,2020
NO2,11.0,50.535385,2.635692,Bethune Stade,ZAG BLDV,2020
NO2,8.0,50.48972,2.66642,Noeux-les-Mines,ZAG BLDV,2020
