Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
PM10,21.0,43.494041,-1.528753,ANGLET,ZAG BAYONNE,2022
PM10,16.0,43.376279,-0.538206,LABASTIDE CEZERACQ,ZR NOUVELLE-AQUITAINE,2022
PM10,17.0,43.838876,-0.81203,TARTAS Pelletrin,ZR NOUVELLE-AQUITAINE,2022
PM10,16.0,45.189825,0.727184,PERIGUEUX,ZR NOUVELLE-AQUITAINE,2022
PM10,17.0,43.704643,-1.038557,DAX,ZR NOUVELLE-AQUITAINE,2022
PM10,17.0,43.311091,-0.352116,PAU TOURASSE,ZR NOUVELLE-AQUITAINE,2022
PM10,18.0,44.508782,0.142695,MARMANDE,ZR NOUVELLE-AQUITAINE,2022
PM10,17.0,43.8961,-0.491403,MONT DE MARSAN,ZR NOUVELLE-AQUITAINE,2022
PM10,20.0,43.470237,-1.553876,Biarritz-hippodrome,ZAG BAYONNE,2022
PM10,24.0,44.833825,-0.598525,Bordeaux_GAUTIER,ZAG BORDEAUX,2022
PM10,18.0,46.782311,4.847322,Chalon Centre Ville,ZAR CHALON,2022
PM10,14.0,46.821056,4.835083,Champforgueil,ZAR CHALON,2022
PM10,12.0,46.678785,4.366893,Montceau-les-Mines 9me écluse,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,14.0,46.316172,4.839994,Macon Paul Bert,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,17.0,45.56472,5.928333,PASTEUR,ZAR PAYS-DE-SAVOIE,2022
PM10,15.0,45.59667,5.918611,CHAMBERY LE HAUT,ZAR PAYS-DE-SAVOIE,2022
PM10,21.0,45.56943,5.932986,Chambéry Trafic,ZAR PAYS-DE-SAVOIE,2022
PM10,13.0,45.274723,6.349722,SAINT JEAN,ZR AUVERGNE-RHONE-ALPES,2022
PM10,11.0,45.209364,6.480326,Maurienne Trafic,ZR AUVERGNE-RHONE-ALPES,2022
PM10,18.0,45.9225,6.87,CHAMONIX,ZAR VALLEE-DE-L-ARVE,2022
PM10,17.0,45.675,6.389722,Albertville,ZAR VALLEE-DE-LA-TARANTAISE,2022
PM10,19.0,45.53583,6.471111,La Léchère,ZAR VALLEE-DE-LA-TARANTAISE,2022
PM10,20.0,45.89528,6.118333,LOVERCHY,ZAR PAYS-DE-SAVOIE,2022
PM10,17.0,45.916943,6.135556,NOVEL,ZAR PAYS-DE-SAVOIE,2022
PM10,21.0,45.9097,6.11825,ANNECY Rocade,ZAR PAYS-DE-SAVOIE,2022
PM10,17.0,46.19583,6.240556,ANNEMASSE,ZAR PAYS-DE-SAVOIE,2022
PM10,15.0,46.193641,6.214534,GAILLARD,ZAR PAYS-DE-SAVOIE,2022
PM10,21.0,45.92361,6.713611,PASSY,ZAR VALLEE-DE-L-ARVE,2022
PM10,17.0,45.907223,6.845833,BOSSONS,ZAR VALLEE-DE-L-ARVE,2022
